Tri,X,Y,Route,Station,Statut,Zone climatique,Temperature moyenne annuelle (celsius),Region
1,-75.792475,45.56390556,1,1,Active,B,4.73194,Outaouais
2,-75.80053611,45.56716667,1,2,Active,B,4.73194,Outaouais
3,-75.80797778,45.571775,1,3,Active,B,4.73194,Outaouais
4,-75.818275,45.57229722,1,4,Active,B,4.73194,Outaouais
5,-75.82496667,45.57644444,1,5,Active,B,4.73194,Outaouais
6,-75.83427778,45.58020278,1,6,Active,B,4.73194,Outaouais
7,-75.83781111,45.58595278,1,7,Active,B,4.73194,Outaouais
8,-75.84414444,45.59094444,1,8,Active,B,4.73194,Outaouais
9,-75.85183889,45.59351389,1,9,Active,B,4.73194,Outaouais
10,-75.85675556,45.59685556,1,10,Active,B,4.73194,Outaouais
11,-78.66603333,48.43089444,2,1,Active,D,0.78926,Abitibi-Temiscamingue
12,-78.67619444,48.42755,2,2,Active,D,0.78926,Abitibi-Temiscamingue
13,-78.685025,48.42300833,2,3,Active,D,0.78926,Abitibi-Temiscamingue
14,-78.69218889,48.41773333,2,4,Active,D,0.78926,Abitibi-Temiscamingue
15,-78.69806667,48.411625,2,5,Active,D,0.78926,Abitibi-Temiscamingue
16,-78.70609167,48.40653611,2,6,Active,D,0.78926,Abitibi-Temiscamingue
17,-78.71520278,48.40425833,2,7,Active,D,0.78926,Abitibi-Temiscamingue
18,-78.72274167,48.40236667,2,8,Active,D,0.78926,Abitibi-Temiscamingue
19,-78.7228,48.39506389,2,9,Active,D,0.78926,Abitibi-Temiscamingue
20,-78.72285278,48.38805,2,10,Active,D,0.78926,Abitibi-Temiscamingue
21,-73.22514722,45.35201667,4,1,Inactive,A,6.26342,Monteregie
22,-73.22411389,45.35931944,4,2,Inactive,A,6.26342,Monteregie
23,-73.220675,45.36262222,4,3,Inactive,A,6.26342,Monteregie
24,-73.21439444,45.35809167,4,4,Inactive,A,6.26342,Monteregie
25,-73.20739722,45.35292222,4,5,Inactive,A,6.26342,Monteregie
